ref_num,area,city,district,Mukatat,piece_num,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18916486.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,32,سكني,أرض,1.0,297754.0,700.8,424.88
18915671.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,51,تجاري,أرض,1.0,273753.0,435.0,629.32
18915803.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,75,سكني,أرض,1.0,307211.0,450.8,681.48
18916074.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,89,سكني,أرض,1.0,305426.0,589.1,518.46
18915657.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ3,24,تجاري,أرض,1.0,352827.0,596.0,591.99
18916203.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ5,33,سكني,أرض,1.0,37616.0,470.2,80.0
18919055.0,المنطقة الشرقية,الجبيل,ضاحية الملك فهد,7/199,429,سكني,أرض,1.0,400000.0,700.0,571.43
18922030.0,المنطقة الشرقية,الخبر,العزيزية,115/2,260/1/ب,تجاري,أرض,1.0,550000.0,500.0,1100.0
18908015.0,المنطقة الشرقية,الخبر,العزيزية,128/2,313/ج,تجاري,أرض,1.0,700000.0,875.0,800.0
18918145.0,المنطقة الشرقية,الخبر,العزيزية,209/2,73/د,سكني,أرض,1.0,500000.0,884.6,565.23
18920307.0,المنطقة الشرقية,الخبر,العزيزية,92/2,796/2/ج,سكني,أرض,1.0,550000.0,437.5,1257.14
18919117.0,المنطقة الشرقية,الخبر,العزيزية,92/2,893/أ,سكني,أرض,1.0,1100000.0,875.0,1257.14
18919865.0,المنطقة الشرقية,الخبر,حي/أخرى,326/1,662/أ,سكني,أرض,1.0,1350000.0,500.0,2700.0
